State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Warangal Urban,2023-12-26,2023,12,3.731e-07,NRSC VIC MODEL
Telangana,Warangal Urban,2023-12-27,2023,12,0.0,NRSC VIC MODEL
Telangana,Warangal Urban,2023-12-28,2023,12,3.731e-07,NRSC VIC MODEL
Telangana,Warangal Urban,2023-12-29,2023,12,0.0,NRSC VIC MODEL
Telangana,Warangal Urban,2023-12-31,2023,12,1.90653e-05,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-01-03,2023,01,0.0,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-01-09,2023,01,0.0752754966,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-01-13,2023,01,0.0,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-01-20,2023,01,0.0,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-01-26,2023,01,0.0,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-01-31,2023,01,0.0,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-02-03,2023,02,0.0,NRSC VIC MODEL
Telangana,Yadadri Bhuvanagiri,2023-02-09,2023,02,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-01-18,2023,01,0.1676737894,NRSC VIC MODEL
Telangana,Suryapet,2023-01-26,2023,01,0.0006126938,NRSC VIC MODEL
Telangana,Suryapet,2023-01-27,2023,01,0.0011578068,NRSC VIC MODEL
Telangana,Suryapet,2023-02-03,2023,02,0.0008493322,NRSC VIC MODEL
Telangana,Suryapet,2023-02-10,2023,02,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-02-14,2023,02,0.0,NRSC VIC MODEL
Telangana,Suryapet,2023-02-17,2023,02,1.4184e-06,NRSC VIC MODEL
Telangana,Suryapet,2023-02-23,2023,02,4.2553e-06,NRSC VIC MODEL
Telangana,Suryapet,2023-02-26,2023,02,1.4184e-06,NRSC VIC MODEL
